Interactions;Followers;Following;Total likes;Username;Display name;bio;authorMeta/verified;jumlah video;jumlah orang yang menyimpan;jumlah komentar;Waktu mengupload;Jumlah like;efek yang digunakan;hashtag 0;deskripsi hashtag 0;hashtag 1;hashtag 2;hashtag 3;hashtag 4;hashtag 5;hashtag 6;hashtag 7;hashtags/8/name;hashtags/9/name;hashtags/10/name;hashtags/11/name;hashtags/12/name;hashtags/13/name;hashtags/14/name;hashtags/15/name;hashtags/16/name;hashtags/17/name;hashtags/18/name;Apakah menggunakan ad?;mentions/0;mentions/1;Artis musik;music;musicMeta/musicOriginal;views;share;caption;durasi video;videoMeta/height;webVideoUrl
1045;7814;107;574800;rebeccahappyy;Eccapie;"DILARANG REPOST SEMUA VIDEO DI AKUN INI!
*kang repost jgn follow🙏";FALSE;742;288;12;14/12/2023 09.11;1244;;rajut;;rajutmurah;cardiganrajut;cardigan;;;;;;;;;;;;;;;;FALSE;;;Dinocucsuc;nhạc nền - Dinocucsuc;TRUE;94600;55;#rajut #rajutmurah #cardiganrajut #cardigan ;10;1024;https://www.tiktok.com/@rebeccahappyy/video/7312267224222289158
9177;154900;95;743800;newshoppeland;Newshoppeland;"📍Bdg
Live Setiap Hari 9 Pagi - 9 Malam WIB
Premium Knitwear Self Manufacture
⬇️";FALSE;1629;13;3;03/11/2023 15.06;40;Glass headphone;fyp;;november;cardigan;rajut;;;;;;;;;;;;;;;;FALSE;;;all;Hanya kamu yang bisa;TRUE;4764;12;Kadang butuh banget gak sih cardigan yang gampang dibawa dan anti ribet kaya gini!  #fyp #november #cardigan #rajut ;15;1024;https://www.tiktok.com/@newshoppeland/video/7297144296791231750
3546;49;74;2128;ssyeira_;miciii🫧;haii🤍;FALSE;159;65;2;21/02/2024 13.18;180;;cardigan;;fypppdonggg;;;;;;;;;;;;;;;;;;FALSE;;;KOHKUN;オリジナル楽曲 - KOHKUN;TRUE;22300;11;kaya merek sebelah gasihh #cardigan #fypppdonggg ;9;1024;https://www.tiktok.com/@ssyeira_/video/7337935857648798981
848;12100;0;97500;hanieqt99;HanieQT;"🤲Bismillah
beli cek keranjang
👇👇👇👇";FALSE;453;448;262;25/09/2023 16.07;5490;;cardiganwanita;;cardiganrajut;;;;;;;;;;;;;;;;;;FALSE;;;kampuang_patin.02;suara asli;TRUE;571500;581;#cardiganwanita #cardiganrajut ;7;1024;https://www.tiktok.com/@hanieqt99/video/7282687613495037190
1889;5290;44;9391;afyaanur_;Afyaa✨;"LIVE SETIAP HARI 💗
ig : afyanurull
Link Oyen ⤵️";FALSE;71;37;13;27/06/2023 20.25;901;;cardiganrajut;;outfitkorea;outfitmurah;;;;;;;;;;;;;;;;;FALSE;;;Raim Laode;Komang;FALSE;16100;47;secakep itu 🤍 #cardiganrajut #outfitkorea #outfitmurah ;9;1024;https://www.tiktok.com/@afyaanur_/video/7249356394447621381
445;630700;23;6300000;knitgoods.id;nigoo.id;Nigoo Official;FALSE;1248;665;12;01/08/2022 19.59;2188;;fyp;;weekendootd;racuntiktok;;;;;;;;;;;;;;;;;FALSE;;;;;FALSE;89000;50;😍😍#fyp #weekendootd  #racuntiktok;9;1024;https://www.tiktok.com/@knitgoods.id/video/7126891626072395034
21100;161000;390;3700000;sintiadewii1;Sintia🐻;"Riau
155/40";FALSE;1998;7059;74;04/11/2022 16.04;34100;;cardiganwaffle;;fyp;;;;;;;;;;;;;;;;;;FALSE;;;templatecapcut;DJ PELUKLAH TUBUHKU DJ ERKA DAN DJ YOGA;TRUE;706300;584;Cardi waffle under 40k doang,murah bgt ga sih🥹❤️ #cardiganwaffle #fyp ;13;1024;https://www.tiktok.com/@sintiadewii1/video/7162084159924555035
5627;775;818;3760;swiftstylelink;SwiftShop;"TikTok Affiliate
check my basket below!! 🩷🎀";FALSE;169;17;4;01/07/2023 18.57;53;;korean;;outfit;cardigan;vest;sleeveless;ootd;recommendations;tiktok;;;;;;;;;;;;FALSE;;;Indra Wave;Love to Go;FALSE;17800;40;Knitted Vest Cardigan Check 🤸🏼‍♀️ out 🤸🏼‍♀️ mo 🤸🏼‍♀️ nayan 🤸🏼‍♀️ beshy 🤸🏼‍♀️ ko 🤸🏼‍♀️ #korean #outfit #cardigan #vest #sleeveless #ootd #recommendations #tiktok ;15;1024;https://www.tiktok.com/@swiftstylelink/video/7250818068350258437
10500;162900;105;5100000;shaynehydn;shaynehydn;"🧸fashion inspo | canada
💌Shayne@levenagency.co
insta: shaynehydn";FALSE;266;662;48;19/04/2023 22.15;4246;;knitcardigan;;knitwear;fashion;outfitinspo;;;;;;;;;;;;;;;;FALSE;;;harley;original sound;TRUE;101800;132;love my cardigans🥹🍒 #knitcardigan #knitwear #fashion #outfitinspo ;13;1024;https://www.tiktok.com/@shaynehydn/video/7223779987843812613
1120;102;8;3468;spillyourcloset;FASHION • BEAUTY • LIFESTYLE;beauty, fashion, barang unyu2;FALSE;93;128;0;06/08/2023 15.32;469;;fyp;;cardigan;outfitideas;rekomendasi;;;;;;;;;;;;;;;;FALSE;;;NewJeans;Super Shy;FALSE;23800;10;aesthetic, nyaman & murah 🤩 #fyp #cardigan #outfitideas #rekomendasi ;12;1024;https://www.tiktok.com/@spillyourcloset/video/7264124348032748806
3516;977600;25;26400000;noahaltink;Noah Altink;"Your source of fashion and beauty inspo for men
noahaltink@gmail.com";FALSE;1410;17900;543;17/10/2022 19.50;83300;;stylinghacks;;cardiganhack;cardiganstyles;tutorials;stylingtips;mensfashion;;;;;;;;;;;;;;FALSE;;;ALTÉGO;UNHOLY ALTÉGO REMIX;TRUE;5400000;948;How to create a CROPPED CARDIGAN 👀 Hit the + for daily #stylinghacks ✅ #cardiganhack #cardiganstyles #tutorials #stylingtips #mensfashion ;10;1024;https://www.tiktok.com/@noahaltink/video/7155462735109590278
3516;977600;25;26400000;noahaltink;Noah Altink;"Your source of fashion and beauty inspo for men
noahaltink@gmail.com";FALSE;1410;536;10;26/09/2023 21.45;1465;;fashionhacks;;stylinghacks;cardiganhack;cardigan;;;;;;;;;;;;;;;;FALSE;;;˚₊‧ 🎧 ‧₊˚;Originalton;TRUE;62000;26;How to get perfect lenght cardigan 🤯 SAVE FOR LATER GUYS 👏🏼& hit the + for daily #fashionhacks & #stylinghacks 👀 #cardiganhack #cardigan ;11;1024;https://www.tiktok.com/@noahaltink/video/7283145820210236705
17000;97;370;14600;cutestuffhereee;Cutestuffhereee;Welcome, happy shopping!✨🎀😆;FALSE;100;2;2;02/01/2024 20.28;8;;cardiganpendek;;kardiganpendek;kardiganlucu;kardiganmurah;topmurah;ootdlucu;racuntiktok;fyp;;;;;;;;;;;;FALSE;;;KAYDEN;RUNAWAY;FALSE;877;0;Harga murah hati tenang🫰😋 #cardiganpendek #kardiganpendek #kardiganlucu #kardiganmurah #topmurah #ootdlucu #racuntiktok #fyp ;7;1024;https://www.tiktok.com/@cutestuffhereee/video/7319492154093522182
7963;303100;230;4300000;arealama.official;AREALAMA;"SUPPLIER KOREAN OUTFIT TERBESAR!
💖Mau mulai usaha?💖
kIik👇🏻";FALSE;1382;1623;93;08/02/2021 16.52;9892;;krisbeebeekingoyang;;fyp;xyzbca;pastiawesome;racunshopee;;;;;;;;;;;;;;;FALSE;;;favsoundds;just the two of us;TRUE;95200;102;siapa suka warna pasteeel! #KrisbeeBeekinGoyang #fyp #xyzbca #PastiAWESOME #racunshopee;19;960;https://www.tiktok.com/@arealama.official/video/6926828613786422529
3259;105300;28;5600000;its.meindi;Im.tckrbelx;Spill barang ⬇️;FALSE;245;747;154;07/02/2023 11.39;2545;;;;;;;;;;;;;;;;;;;;;;FALSE;;;sapu;suara asli - putera;TRUE;195300;216;Cardigan?;15;1024;https://www.tiktok.com/@its.meindi/video/7197268848297463067
12600;26900;193;5600000;mioteriyaki;mioteriyaki;"mioteriyaki@outlook.com 
ig: mioteriyaki";FALSE;747;87;14;31/01/2024 17.31;649;;fyp;;foryou;cardigan;outfitsinspo;;;;;;;;;;;;;;;;FALSE;;;hxdes sounds :);like me;TRUE;8311;2;Cardigans are so great cause you can just throw them on #fyp #foryou #cardigan #outfitsinspo ;6;1024;https://www.tiktok.com/@mioteriyaki/video/7330208117600357664
